ASV_ID	EB_pool_1_2	EB_pool_1_3	EB_pool_1	EB_pool_2_2	EB_pool_2_3	EB_pool_2	EB_pool_3_2	EB_pool_3_3	EB_pool_3	MTeDNA_pool_01_1	MTeDNA_pool_01_2	MTeDNA_pool_01_3	MTeDNA_pool_02_1	MTeDNA_pool_02_2	MTeDNA_pool_02_3	MTeDNA_pool_03_1	MTeDNA_pool_03_2	MTeDNA_pool_03_3	MTeDNA_pool_04_1	MTeDNA_pool_04_2	MTeDNA_pool_04_3	MTeDNA_S12_1	MTeDNA_S12_2	MTeDNA_S12_3	MTeDNA_S13_1	MTeDNA_S13_2	MTeDNA_S13_3	MTeDNA_S14_1	MTeDNA_S14_2	MTeDNA_S14_3	MTeDNA_S15_1	MTeDNA_S15_2	MTeDNA_S15_3	MTeDNA_S15_2_2	MTeDNA_S15_2_3	MTeDNA_S15_2	MTeDNA_S16_1	MTeDNA_S16_2	MTeDNA_S16_3	MTeDNA_S17_1	MTeDNA_S17_2	MTeDNA_S17_3	MTeDNA_S18_1	MTeDNA_S18_3	MTeDNA_S19_1	MTeDNA_S19_2	MTeDNA_S19_3	MTeDNA_S20_1	MTeDNA_S20_2	MTeDNA_S20_3	MTeDNA_S21_1	MTeDNA_S21_2	MTeDNA_S21_3	MTeDNA_S22_1	MTeDNA_S22_2	MTeDNA_S22_3	MTeDNA_S23_1	MTeDNA_S23_2	MTeDNA_S23_3	MTeDNA_S24_1	MTeDNA_S24_2	MTeDNA_S24_3	MTeDNA_S25_1	MTeDNA_S25_2	MTeDNA_S25_3	MTeDNA_S25_2_1	MTeDNA_S25_2_2	MTeDNA_S25_2_3	MTeDNA_S26_1	MTeDNA_S26_2	MTeDNA_S26_3	MTeDNA_S30_1	MTeDNA_S30_2	MTeDNA_S30_3	MTeDNA_S31_1	MTeDNA_S31_2	MTeDNA_S31_3	MTeDNA_S31_2_1	MTeDNA_S31_2_2	MTeDNA_S31_2_3	MTeDNA_S32_1	MTeDNA_S32_2	MTeDNA_S32_3	MTeDNA_S33_1	MTeDNA_S33_2	MTeDNA_S33_3	MTeDNA_S34_1	MTeDNA_S34_2	MTeDNA_S34_3	NTC_1	NTC_2	NTC_3	tap_pool_1_1	tap_pool_1_2	tap_pool_1_3	MTeDNA_S18_2
4c84685b546ed2eb3f4d01e62b734dfd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
af297c9e574ea5e453972e402c329d95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2b1c901a13cc6d3d2a5d786d438bb94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8da98c4eb0b1909aa4e28af3fcd8896f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d095ff93a6050aae71b75663924cf04d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6a006431331a9e9e8d028474c9af6d69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
463f77ee4322ab8aaca1f6c634ce1677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20d977c0f535db8e14a92f77ff3c6ef5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d149a398a0dc91d24147b2ff81b5a49f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9c05bc3407139a2e96558b38ddb18d43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
