sample,replicate,triplicate,type,depth,depth_cat,lat,long,lat_deg,lat_min,log_deg,log_min,day,month,year,volume_L,Comments
MTeDNA_S25_2,MTeDNA_S25,yes,eDNA,10915,04. Benthos (10km),11.37216667,142.5848333,11,22.33,142,35.09,25,June ,2020,1.5,hydrophone closP
MTeDNA_S25_3,MTeDNA_S25,yes,eDNA,10915,04. Benthos (10km),11.37216667,142.5848333,11,22.33,142,35.09,25,June ,2020,1.5,hydrophone closP
MTeDNA_S25_2_1,MTeDNA_S25_2,yes,eDNA,10915,04. Benthos (10km),11.37216667,142.5848333,11,22.33,142,35.09,25,June ,2020,1.5,hydrophone closP
MTeDNA_S25_2_2,MTeDNA_S25_2,yes,eDNA,10915,04. Benthos (10km),11.37216667,142.5848333,11,22.33,142,35.09,25,June ,2020,1.5,hydrophone closP
MTeDNA_S25_2_3,MTeDNA_S25_2,yes,eDNA,10915,04. Benthos (10km),11.37216667,142.5848333,11,22.33,142,35.09,25,June ,2020,1.5,hydrophone closP
EB_pool_1_1,EB_pool_1,yes,extraction_blank,lab,05. Lab/Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB_pool_1_2,EB_pool_1,yes,extraction_blank,lab,05. Lab/Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB_pool_1_3,EB_pool_1,yes,extraction_blank,lab,05. Lab/Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB_pool_2_1,EB_pool_2,yes,extraction_blank,lab,05. Lab/Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB_pool_2_2,EB_pool_2,yes,extraction_blank,lab,05. Lab/Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB_pool_2_3,EB_pool_2,yes,extraction_blank,lab,05. Lab/Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB_pool_3_1,EB_pool_3,yes,extraction_blank,lab,05. Lab/Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB_pool_3_2,EB_pool_3,yes,extraction_blank,lab,05. Lab/Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB_pool_3_3,EB_pool_3,yes,extraction_blank,lab,05. Lab/Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NTC_1,NTC_1,no,no_template_control,lab,05. Lab/Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NTC_2,NTC_2,no,no_template_control,lab,05. Lab/Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NTC_3,NTC_3,no,no_template_control,lab,05. Lab/Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tap_pool_1_1,tap_pool_1,yes,tap_blank,lab,05. Lab/Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tap_pool_1_2,tap_pool_1,yes,tap_blank,lab,05. Lab/Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tap_pool_1_3,tap_pool_1,yes,tap_blank,lab,05. Lab/Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
